Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	1.259E-4	4.445E-9	3.148E+0	8.498E-1	2.699E-2	-2.119E-2	7.237E-3	2.725E-1	6.619E-1	3.808E+2	6.584E-6
-3.800E+0	1.536E-4	3.842E-9	3.840E+0	7.346E-1	1.913E-2	-1.581E-2	5.129E-3			3.811E+2	7.994E-6
-3.600E+0	1.489E-4	3.908E-9	3.723E+0	7.472E-1	2.007E-2	-1.751E-2	5.381E-3			3.815E+2	2.352E-6
-3.400E+0	1.724E-4	3.977E-9	4.311E+0	7.603E-1	1.764E-2	-1.629E-2	4.729E-3			3.819E+2	3.762E-6
-3.200E+0	1.625E-4	3.869E-9	4.062E+0	7.396E-1	1.821E-2	-1.787E-2	4.882E-3			3.822E+2	8.229E-6
-3.000E+0	1.382E-4	3.921E-9	3.456E+0	7.497E-1	2.169E-2	-2.270E-2	5.816E-3			3.826E+2	7.289E-6
-2.800E+0	1.316E-4	3.937E-9	3.290E+0	7.526E-1	2.287E-2	-2.565E-2	6.133E-3			3.830E+2	2.352E-6
-2.600E+0	1.669E-4	4.064E-9	4.173E+0	7.770E-1	1.862E-2	-2.249E-2	4.992E-3			3.833E+2	2.352E-6
-2.400E+0	1.246E-4	3.884E-9	3.115E+0	7.426E-1	2.384E-2	-3.118E-2	6.391E-3			3.837E+2	2.586E-6
-2.200E+0	1.145E-4	4.063E-9	2.862E+0	7.768E-1	2.714E-2	-3.873E-2	7.276E-3			3.841E+2	2.586E-6
-2.000E+0	9.996E-5	4.328E-9	2.499E+0	8.275E-1	3.312E-2	-5.199E-2	8.879E-3			3.844E+2	3.291E-6
-1.800E+0	8.421E-5	4.366E-9	2.105E+0	8.346E-1	3.964E-2	-6.916E-2	1.063E-2			3.848E+2	2.351E-6
-1.600E+0	7.101E-5	3.898E-9	1.775E+0	7.452E-1	4.198E-2	-8.238E-2	1.125E-2			3.852E+2	2.586E-6
-1.400E+0	5.613E-5	3.914E-9	1.403E+0	7.483E-1	5.333E-2	-1.196E-1	1.430E-2			3.855E+2	1.646E-6
-1.200E+0	4.431E-5	3.903E-9	1.108E+0	7.461E-1	6.735E-2	-1.762E-1	1.806E-2			3.859E+2	0.000E+0
-1.000E+0	3.453E-5	3.936E-9	8.634E-1	7.524E-1	8.715E-2	-2.737E-1	2.337E-2			3.863E+2	2.352E-6
-8.000E-1	2.494E-5	3.938E-9	6.236E-1	7.529E-1	1.207E-1	-4.739E-1	3.237E-2			3.866E+2	7.050E-7
-6.000E-1	1.539E-5	3.941E-9	3.847E-1	7.534E-1	1.958E-1	-1.025E+0	5.251E-2			3.870E+2	7.994E-6
-4.000E-1	9.186E-6	3.847E-9	2.296E-1	7.355E-1	3.203E-1	-2.514E+0	8.587E-2			3.874E+2	6.348E-6
-2.000E-1	3.348E-6	4.327E-9	8.371E-2	8.273E-1	9.883E-1	-1.552E+1	2.650E-1			3.877E+2	4.703E-7
1.277E-15	2.127E-9	4.384E-9	5.318E-5	8.382E-1	1.576E+3	3.876E+18	4.226E+2			3.881E+2	7.994E-6
2.000E-1	2.710E-6	3.527E-9	6.776E-2	6.743E-1	9.952E-1	1.562E+1	2.668E-1			3.885E+2	3.291E-6
4.000E-1	5.887E-6	3.980E-9	1.472E-1	7.609E-1	5.170E-1	4.058E+0	1.386E-1			3.888E+2	4.468E-6
6.000E-1	1.078E-5	3.982E-9	2.694E-1	7.613E-1	2.826E-1	1.479E+0	7.578E-2			3.892E+2	4.468E-6
8.000E-1	1.946E-5	4.879E-9	4.864E-1	9.328E-1	1.918E-1	7.527E-1	5.141E-2			3.895E+2	8.700E-6
1.000E+0	2.758E-5	4.403E-9	6.895E-1	8.419E-1	1.221E-1	3.834E-1	3.274E-2			3.899E+2	5.407E-6
1.200E+0	3.636E-5	3.485E-9	9.091E-1	6.664E-1	7.330E-2	1.918E-1	1.965E-2			3.903E+2	5.643E-6
1.400E+0	4.498E-5	4.356E-9	1.124E+0	8.328E-1	7.406E-2	1.661E-1	1.986E-2			3.906E+2	2.346E-7
1.600E+0	5.318E-5	3.690E-9	1.329E+0	7.055E-1	5.306E-2	1.041E-1	1.423E-2			3.910E+2	1.481E-5
1.800E+0	6.636E-5	4.137E-9	1.659E+0	7.909E-1	4.767E-2	8.316E-2	1.278E-2			3.914E+2	4.937E-6
2.000E+0	8.399E-5	3.609E-9	2.100E+0	6.900E-1	3.286E-2	5.159E-2	8.810E-3			3.917E+2	8.700E-6
2.200E+0	9.801E-5	3.899E-9	2.450E+0	7.454E-1	3.042E-2	4.342E-2	8.156E-3			3.921E+2	2.352E-6
2.400E+0	1.269E-4	3.199E-9	3.173E+0	6.117E-1	1.928E-2	2.523E-2	5.169E-3			3.925E+2	1.175E-6
2.600E+0	1.379E-4	3.380E-9	3.448E+0	6.462E-1	1.874E-2	2.263E-2	5.025E-3			3.928E+2	3.997E-6
2.800E+0	1.549E-4	6.186E-9	3.873E+0	1.183E+0	3.054E-2	3.424E-2	8.187E-3			3.932E+2	1.646E-6
3.000E+0	1.549E-4	2.556E-8	3.872E+0	4.887E+0	1.262E-1	1.321E-1	3.384E-2			3.935E+2	1.175E-6
3.200E+0	1.561E-4	1.021E-7	3.904E+0	1.953E+1	5.002E-1	4.908E-1	1.341E-1			3.939E+2	2.586E-6
3.400E+0	1.416E-4	3.387E-7	3.539E+0	6.475E+1	1.830E+0	1.690E+0	4.905E-1			3.943E+2	3.291E-6
3.600E+0	1.908E-4	9.090E-7	4.771E+0	1.738E+2	3.643E+0	3.177E+0	9.766E-1			3.946E+2	0.000E+0
3.800E+0	1.594E-4	2.186E-6	3.984E+0	4.179E+2	1.049E+1	8.668E+0	2.812E+0			3.950E+2	1.270E-5
