Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	3.371E-5	2.624E-9	8.428E-1	5.036E-1	5.976E-2	-4.691E-2	1.580E-2	2.881E-1	6.553E-1	3.808E+2	2.749E-6
-3.800E+0	2.737E-5	3.532E-9	6.843E-1	6.779E-1	9.907E-2	-8.186E-2	2.619E-2			3.811E+2	8.460E-7
-3.600E+0	5.353E-5	2.827E-9	1.338E+0	5.427E-1	4.055E-2	-3.537E-2	1.072E-2			3.815E+2	0.000E+0
-3.400E+0	7.662E-5	4.203E-9	1.916E+0	8.067E-1	4.211E-2	-3.889E-2	1.113E-2			3.819E+2	1.903E-6
-3.200E+0	6.455E-5	4.658E-9	1.614E+0	8.940E-1	5.539E-2	-5.435E-2	1.465E-2			3.822E+2	3.595E-6
-3.000E+0	6.479E-5	4.571E-9	1.620E+0	8.774E-1	5.417E-2	-5.670E-2	1.432E-2			3.826E+2	5.709E-6
-2.800E+0	8.536E-5	3.309E-9	2.134E+0	6.352E-1	2.977E-2	-3.338E-2	7.870E-3			3.830E+2	1.903E-6
-2.600E+0	4.997E-5	3.569E-9	1.249E+0	6.849E-1	5.482E-2	-6.621E-2	1.450E-2			3.833E+2	1.903E-6
-2.400E+0	9.226E-5	4.111E-9	2.306E+0	7.891E-1	3.421E-2	-4.476E-2	9.046E-3			3.837E+2	9.304E-6
-2.200E+0	8.658E-5	3.540E-9	2.164E+0	6.795E-1	3.139E-2	-4.480E-2	8.300E-3			3.841E+2	8.881E-6
-2.000E+0	1.024E-4	2.506E-9	2.560E+0	4.809E-1	1.879E-2	-2.950E-2	4.968E-3			3.844E+2	1.903E-6
-1.800E+0	8.779E-5	3.160E-9	2.195E+0	6.065E-1	2.763E-2	-4.820E-2	7.306E-3			3.848E+2	5.498E-6
-1.600E+0	7.362E-5	4.182E-9	1.840E+0	8.027E-1	4.362E-2	-8.560E-2	1.153E-2			3.852E+2	6.132E-6
-1.400E+0	6.069E-5	4.721E-9	1.517E+0	9.060E-1	5.972E-2	-1.339E-1	1.579E-2			3.855E+2	1.311E-5
-1.200E+0	4.896E-5	5.081E-9	1.224E+0	9.752E-1	7.967E-2	-2.085E-1	2.107E-2			3.859E+2	4.230E-7
-1.000E+0	3.805E-5	2.743E-9	9.514E-1	5.264E-1	5.533E-2	-1.737E-1	1.463E-2			3.863E+2	7.612E-6
-8.000E-1	2.824E-5	2.720E-9	7.061E-1	5.220E-1	7.393E-2	-2.902E-1	1.955E-2			3.866E+2	4.440E-6
-6.000E-1	1.960E-5	4.745E-9	4.901E-1	9.108E-1	1.858E-1	-9.726E-1	4.914E-2			3.870E+2	8.460E-7
-4.000E-1	1.170E-5	5.382E-9	2.925E-1	1.033E+0	3.532E-1	-2.772E+0	9.338E-2			3.874E+2	4.230E-7
-2.000E-1	5.197E-6	4.718E-9	1.299E-1	9.056E-1	6.970E-1	-1.094E+1	1.843E-1			3.877E+2	6.343E-6
1.277E-15	3.722E-9	2.805E-9	9.306E-5	5.383E-1	5.785E+2	1.423E+18	1.529E+2			3.881E+2	1.057E-6
2.000E-1	5.702E-6	3.486E-9	1.426E-1	6.691E-1	4.694E-1	7.369E+0	1.241E-1			3.885E+2	3.595E-6
4.000E-1	1.309E-5	2.903E-9	3.272E-1	5.572E-1	1.703E-1	1.337E+0	4.502E-2			3.888E+2	3.383E-6
6.000E-1	2.110E-5	3.018E-9	5.275E-1	5.792E-1	1.098E-1	5.746E-1	2.903E-2			3.892E+2	2.960E-6
8.000E-1	3.035E-5	4.294E-9	7.588E-1	8.242E-1	1.086E-1	4.264E-1	2.872E-2			3.895E+2	4.863E-6
1.000E+0	3.996E-5	4.434E-9	9.989E-1	8.511E-1	8.520E-2	2.675E-1	2.253E-2			3.899E+2	2.537E-6
