Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	7.066E-5	1.468E-9	1.767E+0	2.807E-1	1.589E-2	-1.247E-2	4.260E-3	2.725E-1	6.619E-1	3.808E+2	6.584E-6
-3.800E+0	5.743E-5	1.572E-9	1.436E+0	3.005E-1	2.093E-2	-1.730E-2	5.612E-3			3.811E+2	7.994E-6
-3.600E+0	5.014E-5	1.553E-9	1.253E+0	2.969E-1	2.369E-2	-2.066E-2	6.351E-3			3.815E+2	2.352E-6
-3.400E+0	4.666E-5	1.563E-9	1.167E+0	2.988E-1	2.562E-2	-2.366E-2	6.868E-3			3.819E+2	3.762E-6
-3.200E+0	2.626E-5	1.557E-9	6.566E-1	2.977E-1	4.534E-2	-4.449E-2	1.216E-2			3.822E+2	8.229E-6
-3.000E+0	3.749E-5	1.573E-9	9.373E-1	3.007E-1	3.208E-2	-3.358E-2	8.601E-3			3.826E+2	7.289E-6
-2.800E+0	3.955E-5	1.565E-9	9.888E-1	2.992E-1	3.026E-2	-3.394E-2	8.114E-3			3.830E+2	2.352E-6
-2.600E+0	1.518E-5	1.591E-9	3.794E-1	3.042E-1	8.018E-2	-9.684E-2	2.150E-2			3.833E+2	2.352E-6
-2.400E+0	1.201E-5	1.591E-9	3.003E-1	3.042E-1	1.013E-1	-1.325E-1	2.716E-2			3.837E+2	2.586E-6
-2.200E+0	9.514E-6	1.563E-9	2.379E-1	2.988E-1	1.256E-1	-1.793E-1	3.368E-2			3.841E+2	2.586E-6
-2.000E+0	7.376E-6	1.555E-9	1.844E-1	2.973E-1	1.612E-1	-2.531E-1	4.322E-2			3.844E+2	3.291E-6
-1.800E+0	5.995E-6	1.572E-9	1.499E-1	3.006E-1	2.006E-1	-3.499E-1	5.378E-2			3.848E+2	2.351E-6
-1.600E+0	4.524E-6	1.517E-9	1.131E-1	2.899E-1	2.564E-1	-5.031E-1	6.873E-2			3.852E+2	2.586E-6
-1.400E+0	3.103E-6	1.576E-9	7.759E-2	3.013E-1	3.883E-1	-8.709E-1	1.041E-1			3.855E+2	1.646E-6
-1.200E+0	2.276E-6	1.989E-9	5.690E-2	3.802E-1	6.681E-1	-1.748E+0	1.791E-1			3.859E+2	0.000E+0
-1.000E+0	1.549E-6	1.335E-9	3.872E-2	2.552E-1	6.591E-1	-2.069E+0	1.767E-1			3.863E+2	2.352E-6
-8.000E-1	9.838E-7	1.508E-9	2.459E-2	2.883E-1	1.172E+0	-4.601E+0	3.143E-1			3.866E+2	7.050E-7
-6.000E-1	5.363E-7	1.474E-9	1.341E-2	2.819E-1	2.102E+0	-1.100E+1	5.636E-1			3.870E+2	7.994E-6
-4.000E-1	2.774E-7	1.478E-9	6.934E-3	2.826E-1	4.076E+0	-3.199E+1	1.093E+0			3.874E+2	6.348E-6
-2.000E-1	1.058E-7	1.477E-9	2.645E-3	2.823E-1	1.068E+1	-1.676E+2	2.862E+0			3.877E+2	4.703E-7
1.277E-15	6.338E-10	1.483E-9	1.585E-5	2.835E-1	1.789E+3	4.401E+18	4.798E+2			3.881E+2	7.994E-6
2.000E-1	8.779E-8	1.264E-9	2.195E-3	2.417E-1	1.101E+1	1.729E+2	2.953E+0			3.885E+2	3.291E-6
4.000E-1	2.494E-7	1.668E-9	6.234E-3	3.190E-1	5.117E+0	4.017E+1	1.372E+0			3.888E+2	4.468E-6
6.000E-1	4.863E-7	1.324E-9	1.216E-2	2.532E-1	2.083E+0	1.090E+1	5.584E-1			3.892E+2	4.468E-6
8.000E-1	8.517E-7	1.533E-9	2.129E-2	2.930E-1	1.376E+0	5.402E+0	3.690E-1			3.895E+2	8.700E-6
1.000E+0	1.279E-6	1.501E-9	3.197E-2	2.869E-1	8.974E-1	2.818E+0	2.406E-1			3.899E+2	5.407E-6
1.200E+0	1.532E-6	1.575E-9	3.830E-2	3.011E-1	7.863E-1	2.057E+0	2.108E-1			3.903E+2	5.643E-6
1.400E+0	2.329E-6	1.523E-9	5.822E-2	2.911E-1	5.000E-1	1.121E+0	1.341E-1			3.906E+2	2.346E-7
1.600E+0	2.762E-6	1.566E-9	6.904E-2	2.994E-1	4.336E-1	8.509E-1	1.162E-1			3.910E+2	1.481E-5
1.800E+0	3.135E-6	1.492E-9	7.837E-2	2.852E-1	3.640E-1	6.349E-1	9.758E-2			3.914E+2	4.937E-6
2.000E+0	3.938E-6	1.508E-9	9.845E-2	2.883E-1	2.929E-1	4.598E-1	7.852E-2			3.917E+2	8.700E-6
2.200E+0	3.912E-6	1.571E-9	9.781E-2	3.003E-1	3.070E-1	4.382E-1	8.231E-2			3.921E+2	2.352E-6
2.400E+0	4.049E-6	1.532E-9	1.012E-1	2.928E-1	2.893E-1	3.785E-1	7.756E-2			3.925E+2	1.175E-6
2.600E+0	3.959E-6	1.897E-9	9.898E-2	3.627E-1	3.664E-1	4.426E-1	9.825E-2			3.928E+2	3.997E-6
2.800E+0	6.881E-6	5.693E-9	1.720E-1	1.088E+0	6.326E-1	7.094E-1	1.696E-1			3.932E+2	1.646E-6
3.000E+0	4.018E-6	2.839E-8	1.005E-1	5.428E+0	5.403E+0	5.655E+0	1.449E+0			3.935E+2	1.175E-6
3.200E+0	7.466E-6	1.216E-7	1.867E-1	2.325E+1	1.246E+1	1.222E+1	3.339E+0			3.939E+2	2.586E-6
3.400E+0	6.531E-6	4.036E-7	1.633E-1	7.716E+1	4.726E+1	4.364E+1	1.267E+1			3.943E+2	3.291E-6
3.600E+0	1.647E-5	1.094E-6	4.117E-1	2.092E+2	5.082E+1	4.433E+1	1.363E+1			3.946E+2	0.000E+0
3.800E+0	3.891E-5	2.510E-6	9.727E-1	4.798E+2	4.933E+1	4.076E+1	1.323E+1			3.950E+2	1.270E-5
4.000E+0	8.275E-5	4.903E-6	2.069E+0	9.373E+2	4.531E+1	3.557E+1	1.215E+1			3.954E+2	9.407E-7
4.200E+0	1.700E-4	8.339E-6	4.250E+0	1.594E+3	3.751E+1	2.804E+1	1.006E+1			3.957E+2	9.407E-7
4.400E+0	2.738E-4	1.296E-5	6.844E+0	2.478E+3	3.620E+1	2.583E+1	9.706E+0			3.961E+2	6.818E-6
4.600E+0	4.214E-4	1.866E-5	1.053E+1	3.568E+3	3.388E+1	2.312E+1	9.082E+0			3.965E+2	2.351E-6
4.800E+0	6.270E-4	2.530E-5	1.567E+1	4.836E+3	3.085E+1	2.018E+1	8.273E+0			3.968E+2	9.407E-7
5.000E+0	8.511E-4	3.293E-5	2.128E+1	6.295E+3	2.958E+1	1.858E+1	7.932E+0			3.972E+2	4.702E-6
5.200E+0	1.122E-3	4.114E-5	2.805E+1	7.866E+3	2.804E+1	1.693E+1	7.518E+0			3.975E+2	2.116E-6
5.400E+0	1.407E-3	5.025E-5	3.517E+1	9.606E+3	2.731E+1	1.588E+1	7.322E+0			3.979E+2	1.175E-6
5.600E+0	1.730E-3	5.980E-5	4.326E+1	1.143E+4	2.643E+1	1.482E+1	7.086E+0			3.983E+2	4.703E-7
5.800E+0	2.107E-3	6.953E-5	5.268E+1	1.329E+4	2.523E+1	1.366E+1	6.765E+0			3.986E+2	9.170E-6
6.000E+0	2.502E-3	7.962E-5	6.254E+1	1.522E+4	2.434E+1	1.274E+1	6.525E+0			3.990E+2	4.703E-7
6.200E+0	2.931E-3	8.994E-5	7.328E+1	1.719E+4	2.346E+1	1.188E+1	6.291E+0			3.994E+2	9.407E-7
6.400E+0	3.402E-3	1.004E-4	8.504E+1	1.919E+4	2.257E+1	1.107E+1	6.051E+0			3.997E+2	1.646E-6
6.600E+0	3.885E-3	1.112E-4	9.713E+1	2.126E+4	2.189E+1	1.042E+1	5.870E+0			4.001E+2	1.646E-6
6.800E+0	4.400E-3	1.222E-4	1.100E+2	2.335E+4	2.123E+1	9.805E+0	5.693E+0			4.005E+2	6.113E-6
7.000E+0	4.956E-3	1.332E-4	1.239E+2	2.546E+4	2.055E+1	9.218E+0	5.510E+0			4.008E+2	3.997E-6
7.200E+0	5.526E-3	1.443E-4	1.381E+2	2.759E+4	1.997E+1	8.711E+0	5.355E+0			4.012E+2	7.050E-7
7.400E+0	6.129E-3	1.557E-4	1.532E+2	2.977E+4	1.943E+1	8.243E+0	5.208E+0			4.015E+2	2.586E-6
7.600E+0	6.754E-3	1.672E-4	1.688E+2	3.197E+4	1.893E+1	7.823E+0	5.077E+0			4.019E+2	7.054E-6
7.800E+0	7.396E-3	1.787E-4	1.849E+2	3.417E+4	1.848E+1	7.438E+0	4.954E+0			4.023E+2	2.586E-6
8.000E+0	8.074E-3	1.907E-4	2.018E+2	3.646E+4	1.806E+1	7.089E+0	4.843E+0			4.026E+2	1.881E-6
8.200E+0	8.787E-3	2.023E-4	2.197E+2	3.867E+4	1.760E+1	6.740E+0	4.719E+0			4.030E+2	1.175E-6
8.400E+0	9.513E-3	2.141E-4	2.378E+2	4.093E+4	1.721E+1	6.433E+0	4.614E+0			4.034E+2	3.291E-6
8.600E+0	1.027E-2	2.257E-4	2.569E+2	4.316E+4	1.680E+1	6.135E+0	4.505E+0			4.037E+2	2.821E-6
8.800E+0	1.105E-2	2.376E-4	2.763E+2	4.542E+4	1.644E+1	5.865E+0	4.407E+0			4.041E+2	7.053E-6
9.000E+0	1.186E-2	2.493E-4	2.964E+2	4.766E+4	1.608E+1	5.610E+0	4.311E+0			4.045E+2	4.232E-6
9.200E+0	1.268E-2	2.611E-4	3.170E+2	4.991E+4	1.575E+1	5.374E+0	4.222E+0			4.048E+2	4.937E-6
9.400E+0	1.352E-2	2.726E-4	3.379E+2	5.211E+4	1.542E+1	5.151E+0	4.135E+0			4.052E+2	6.113E-6
9.600E+0	1.437E-2	2.843E-4	3.591E+2	5.434E+4	1.513E+1	4.949E+0	4.057E+0			4.055E+2	1.129E-5
9.800E+0	1.524E-2	2.959E-4	3.811E+2	5.657E+4	1.484E+1	4.756E+0	3.980E+0			4.059E+2	4.232E-6
1.000E+1	1.621E-2	3.081E-4	4.053E+2	5.890E+4	1.453E+1	4.563E+0	3.897E+0			4.063E+2	2.346E-7
										4.066E+2	1.881E-6
										4.070E+2	9.170E-6
										4.074E+2	3.057E-6
										4.077E+2	1.881E-6
										4.081E+2	1.270E-5
										4.084E+2	8.700E-6
										4.088E+2	1.175E-6
										4.092E+2	6.584E-6
										4.095E+2	1.035E-5
										4.099E+2	6.348E-6
										4.102E+2	2.352E-6
										4.106E+2	2.821E-6
										4.110E+2	5.173E-6
										4.113E+2	3.762E-6
										4.117E+2	1.175E-6
										4.121E+2	1.035E-5
										4.124E+2	5.643E-6
										4.128E+2	2.346E-7
										4.131E+2	4.703E-7
										4.135E+2	6.818E-6
										4.139E+2	5.173E-6
										4.142E+2	3.527E-6
										4.146E+2	5.407E-6
										4.150E+2	6.818E-6
										4.153E+2	4.468E-6
										4.157E+2	1.175E-6
										4.160E+2	2.346E-7
										4.164E+2	7.050E-7
										4.168E+2	9.405E-6
										4.171E+2	7.289E-6
										4.175E+2	3.057E-6
										4.178E+2	3.762E-6
										4.182E+2	1.387E-5
										4.186E+2	2.352E-6
										4.189E+2	3.762E-6
										4.193E+2	5.878E-6
										4.196E+2	4.232E-6
										4.200E+2	5.407E-6
										4.204E+2	6.113E-6
										4.207E+2	2.346E-7
										4.211E+2	1.152E-5
										4.215E+2	3.527E-6
										4.218E+2	6.584E-6
										4.222E+2	1.011E-5
										4.225E+2	5.407E-6
										4.229E+2	8.464E-6
										4.233E+2	2.352E-6
										4.236E+2	4.702E-6
										4.240E+2	4.703E-7
										4.243E+2	4.702E-6
										4.247E+2	3.057E-6
										4.251E+2	6.348E-6
										4.254E+2	2.586E-6
										4.258E+2	6.113E-6
										4.261E+2	2.346E-7
										4.265E+2	6.584E-6
										4.269E+2	7.053E-6
										4.272E+2	2.346E-7
										4.276E+2	5.643E-6
										4.280E+2	1.881E-6
										4.283E+2	1.646E-6
										4.287E+2	2.116E-6
										4.290E+2	6.584E-6
										4.294E+2	1.881E-6
										4.298E+2	3.291E-6
										4.301E+2	2.116E-6
										4.305E+2	5.407E-6
										4.308E+2	7.050E-7
										4.312E+2	3.762E-6
										4.315E+2	5.643E-6
										4.319E+2	1.552E-5
										4.323E+2	1.646E-6
										4.326E+2	4.702E-6
										4.330E+2	7.523E-6
										4.334E+2	0.000E+0
										4.337E+2	2.586E-6
										4.341E+2	3.527E-6
										4.344E+2	3.762E-6
										4.348E+2	2.346E-7
										4.351E+2	3.527E-6
										4.355E+2	3.291E-6
										4.359E+2	3.057E-6
										4.362E+2	1.646E-6
										4.366E+2	5.878E-6
										4.370E+2	4.232E-6
										4.373E+2	4.468E-6
										4.377E+2	4.702E-6
										4.380E+2	1.129E-5
										4.384E+2	5.878E-6
										4.387E+2	3.997E-6
										4.391E+2	5.173E-6
										4.395E+2	7.289E-6
										4.398E+2	6.818E-6
										4.402E+2	3.527E-6
										4.405E+2	9.875E-6
										4.409E+2	3.057E-6
