Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	1.542E-4	1.413E-9	3.856E+0	2.384E-1	6.184E-3	-4.854E-3	1.855E-3	3.042E-1	5.833E-1	3.808E+2	2.384E-6
-3.800E+0	1.472E-4	1.432E-9	3.679E+0	2.416E-1	6.567E-3	-5.427E-3	1.970E-3			3.811E+2	1.487E-7
-3.600E+0	1.503E-4	1.374E-9	3.758E+0	2.319E-1	6.171E-3	-5.382E-3	1.851E-3			3.815E+2	0.000E+0
-3.400E+0	1.134E-4	1.317E-9	2.834E+0	2.223E-1	7.846E-3	-7.246E-3	2.354E-3			3.819E+2	2.682E-6
-3.200E+0	9.351E-5	1.288E-9	2.338E+0	2.173E-1	9.295E-3	-9.121E-3	2.789E-3			3.822E+2	3.129E-6
-3.000E+0	8.337E-5	1.297E-9	2.084E+0	2.189E-1	1.050E-2	-1.099E-2	3.151E-3			3.826E+2	1.193E-6
-2.800E+0	7.994E-5	1.285E-9	1.998E+0	2.169E-1	1.085E-2	-1.217E-2	3.256E-3			3.830E+2	4.471E-6
-2.600E+0	7.075E-5	1.280E-9	1.769E+0	2.160E-1	1.221E-2	-1.475E-2	3.663E-3			3.833E+2	2.981E-6
-2.400E+0	5.483E-5	1.272E-9	1.371E+0	2.147E-1	1.566E-2	-2.049E-2	4.699E-3			3.837E+2	2.832E-6
-2.200E+0	4.564E-5	1.280E-9	1.141E+0	2.160E-1	1.893E-2	-2.702E-2	5.679E-3			3.841E+2	2.236E-6
-2.000E+0	3.482E-5	1.282E-9	8.705E-1	2.164E-1	2.487E-2	-3.904E-2	7.460E-3			3.844E+2	4.769E-6
-1.800E+0	2.746E-5	1.288E-9	6.865E-1	2.174E-1	3.167E-2	-5.524E-2	9.500E-3			3.848E+2	1.937E-6
-1.600E+0	2.157E-5	1.286E-9	5.392E-1	2.170E-1	4.025E-2	-7.899E-2	1.207E-2			3.852E+2	4.918E-6
-1.400E+0	1.669E-5	1.288E-9	4.173E-1	2.173E-1	5.208E-2	-1.168E-1	1.562E-2			3.855E+2	3.726E-6
-1.200E+0	1.227E-5	1.290E-9	3.067E-1	2.177E-1	7.098E-2	-1.857E-1	2.129E-2			3.859E+2	3.875E-6
-1.000E+0	8.440E-6	1.285E-9	2.110E-1	2.169E-1	1.028E-1	-3.229E-1	3.085E-2			3.863E+2	8.944E-7
-8.000E-1	5.517E-6	1.270E-9	1.379E-1	2.144E-1	1.554E-1	-6.100E-1	4.662E-2			3.866E+2	4.471E-6
-6.000E-1	3.583E-6	1.273E-9	8.957E-2	2.148E-1	2.398E-1	-1.255E+0	7.195E-2			3.870E+2	1.341E-6
