Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
4.600E+0	2.075E-4	1.387E-5	5.187E+0	2.658E+3	5.123E+1	3.497E+1	1.365E+1			3.965E+2	4.798E-6
4.800E+0	3.113E-4	1.937E-5	7.783E+0	3.711E+3	4.768E+1	3.119E+1	1.270E+1			3.968E+2	5.234E-6
5.000E+0	4.449E-4	2.590E-5	1.112E+1	4.962E+3	4.461E+1	2.802E+1	1.188E+1			3.972E+2	2.617E-6
5.200E+0	6.105E-4	3.343E-5	1.526E+1	6.405E+3	4.196E+1	2.534E+1	1.118E+1			3.975E+2	8.725E-7
5.400E+0	8.089E-4	4.187E-5	2.022E+1	8.021E+3	3.966E+1	2.306E+1	1.056E+1			3.979E+2	3.053E-6
5.600E+0	1.040E-3	5.113E-5	2.601E+1	9.796E+3	3.767E+1	2.112E+1	1.003E+1			3.983E+2	2.176E-7
5.800E+0	1.305E-3	6.114E-5	3.263E+1	1.171E+4	3.590E+1	1.943E+1	9.561E+0			3.986E+2	8.505E-6
6.000E+0	1.603E-3	7.180E-5	4.008E+1	1.376E+4	3.432E+1	1.796E+1	9.142E+0			3.990E+2	4.579E-6
6.200E+0	1.932E-3	8.301E-5	4.831E+1	1.590E+4	3.292E+1	1.667E+1	8.769E+0			3.994E+2	2.176E-7
6.400E+0	2.293E-3	9.472E-5	5.732E+1	1.815E+4	3.166E+1	1.553E+1	8.432E+0			3.997E+2	7.633E-6
6.600E+0	2.685E-3	1.069E-4	6.713E+1	2.048E+4	3.051E+1	1.451E+1	8.126E+0			4.001E+2	8.723E-6
6.800E+0	3.112E-3	1.193E-4	7.781E+1	2.286E+4	2.938E+1	1.357E+1	7.827E+0			4.005E+2	7.197E-6
7.000E+0	3.567E-3	1.322E-4	8.917E+1	2.533E+4	2.841E+1	1.274E+1	7.566E+0			4.008E+2	5.888E-6
7.200E+0	4.047E-3	1.455E-4	1.012E+2	2.788E+4	2.755E+1	1.202E+1	7.338E+0			4.012E+2	4.363E-7
7.400E+0	4.564E-3	1.591E-4	1.141E+2	3.048E+4	2.671E+1	1.133E+1	7.115E+0			4.015E+2	2.176E-7
7.600E+0	5.104E-3	1.729E-4	1.276E+2	3.313E+4	2.596E+1	1.073E+1	6.915E+0			4.019E+2	3.271E-6
7.800E+0	5.680E-3	1.870E-4	1.420E+2	3.583E+4	2.523E+1	1.016E+1	6.720E+0			4.023E+2	8.725E-7
8.000E+0	6.283E-3	2.013E-4	1.571E+2	3.856E+4	2.455E+1	9.636E+0	6.539E+0			4.026E+2	3.271E-6
8.200E+0	6.909E-3	2.160E-4	1.727E+2	4.137E+4	2.395E+1	9.172E+0	6.380E+0			4.030E+2	2.176E-7
8.400E+0	7.574E-3	2.307E-4	1.893E+2	4.419E+4	2.334E+1	8.725E+0	6.217E+0			4.034E+2	4.362E-6
8.600E+0	8.269E-3	2.456E-4	2.067E+2	4.704E+4	2.276E+1	8.309E+0	6.061E+0			4.037E+2	4.363E-7
8.800E+0	8.995E-3	2.606E-4	2.249E+2	4.993E+4	2.220E+1	7.922E+0	5.913E+0			4.041E+2	3.489E-6
9.000E+0	9.750E-3	2.757E-4	2.437E+2	5.282E+4	2.167E+1	7.561E+0	5.772E+0			4.045E+2	5.015E-6
9.200E+0	1.054E-2	2.909E-4	2.635E+2	5.573E+4	2.115E+1	7.219E+0	5.633E+0			4.048E+2	3.489E-6
9.400E+0	1.136E-2	3.062E-4	2.841E+2	5.865E+4	2.065E+1	6.897E+0	5.499E+0			4.052E+2	7.414E-6
9.600E+0	1.220E-2	3.217E-4	3.050E+2	6.162E+4	2.020E+1	6.609E+0	5.381E+0			4.055E+2	9.159E-6
9.800E+0	1.308E-2	3.371E-4	3.269E+2	6.457E+4	1.975E+1	6.328E+0	5.261E+0			4.059E+2	4.363E-7
1.000E+1	1.397E-2	3.523E-4	3.493E+2	6.749E+4	1.932E+1	6.067E+0	5.147E+0			4.063E+2	4.579E-6
										4.066E+2	6.543E-6
										4.070E+2	8.725E-7
										4.074E+2	4.579E-6
										4.077E+2	1.090E-6
										4.081E+2	4.362E-6
										4.084E+2	8.287E-6
										4.088E+2	8.725E-7
										4.092E+2	4.579E-6
										4.095E+2	4.579E-6
										4.099E+2	2.399E-6
										4.102E+2	2.399E-6
										4.106E+2	4.363E-7
										4.110E+2	1.025E-5
										4.113E+2	3.271E-6
										4.117E+2	2.399E-6
										4.121E+2	1.069E-5
										4.124E+2	5.670E-6
										4.128E+2	5.452E-6
										4.131E+2	5.888E-6
										4.135E+2	3.489E-6
										4.139E+2	3.489E-6
										4.142E+2	8.725E-7
										4.146E+2	8.069E-6
										4.150E+2	2.835E-6
										4.153E+2	2.617E-6
										4.157E+2	4.363E-7
										4.160E+2	5.234E-6
										4.164E+2	3.053E-6
										4.168E+2	2.399E-6
										4.171E+2	7.197E-6
										4.175E+2	6.542E-6
										4.178E+2	6.978E-6
										4.182E+2	1.090E-5
										4.186E+2	1.526E-6
										4.189E+2	1.090E-6
										4.193E+2	6.539E-7
										4.196E+2	2.180E-6
										4.200E+2	4.579E-6
										4.204E+2	6.542E-6
										4.207E+2	4.144E-6
										4.211E+2	9.596E-6
										4.215E+2	3.708E-6
										4.218E+2	1.178E-5
										4.222E+2	8.287E-6
										4.225E+2	5.452E-6
										4.229E+2	2.176E-7
										4.233E+2	8.505E-6
										4.236E+2	5.452E-6
										4.240E+2	3.489E-6
										4.243E+2	7.414E-6
										4.247E+2	1.526E-6
										4.251E+2	4.363E-7
										4.254E+2	1.526E-6
										4.258E+2	1.047E-5
										4.261E+2	1.309E-6
										4.265E+2	2.399E-6
										4.269E+2	4.144E-6
										4.272E+2	3.708E-6
										4.276E+2	2.176E-7
										4.280E+2	2.617E-6
										4.283E+2	2.181E-6
										4.287E+2	1.963E-6
										4.290E+2	6.760E-6
										4.294E+2	1.526E-6
										4.298E+2	1.309E-6
										4.301E+2	8.069E-6
										4.305E+2	6.324E-6
										4.308E+2	5.452E-6
										4.312E+2	5.888E-6
										4.315E+2	2.617E-6
										4.319E+2	5.670E-6
										4.323E+2	2.835E-6
										4.326E+2	5.888E-6
										4.330E+2	6.543E-6
										4.334E+2	8.725E-7
										4.337E+2	3.271E-6
										4.341E+2	2.617E-6
										4.344E+2	4.798E-6
										4.348E+2	5.452E-6
										4.351E+2	6.978E-6
										4.355E+2	1.526E-6
										4.359E+2	2.180E-6
										4.362E+2	4.144E-6
										4.366E+2	8.069E-6
										4.370E+2	7.633E-6
										4.373E+2	1.309E-6
										4.377E+2	1.745E-6
										4.380E+2	3.489E-6
										4.384E+2	1.047E-5
										4.387E+2	2.180E-6
										4.391E+2	8.069E-6
										4.395E+2	1.090E-6
										4.398E+2	9.159E-6
										4.402E+2	2.181E-6
										4.405E+2	5.234E-6
										4.409E+2	2.399E-6
										4.412E+2	1.963E-6
										4.416E+2	8.725E-7
										4.420E+2	2.399E-6
										4.423E+2	6.107E-6
										4.427E+2	4.144E-6
										4.430E+2	3.489E-6
										4.434E+2	1.309E-6
										4.438E+2	3.489E-6
										4.441E+2	2.399E-6
										4.445E+2	5.452E-6
										4.448E+2	1.526E-6
										4.452E+2	1.309E-6
										4.456E+2	6.978E-6
										4.459E+2	6.760E-6
										4.463E+2	1.963E-6
										4.466E+2	5.452E-6
										4.470E+2	9.377E-6
										4.474E+2	3.925E-6
										4.477E+2	1.745E-6
										4.481E+2	1.963E-6
										4.484E+2	6.760E-6
										4.488E+2	7.197E-6
										4.491E+2	2.399E-6
										4.495E+2	3.053E-6
										4.499E+2	9.377E-6
										4.502E+2	5.452E-6
										4.506E+2	6.539E-7
										4.509E+2	0.000E+0
										4.513E+2	4.798E-6
										4.516E+2	1.963E-6
										4.520E+2	6.539E-7
										4.524E+2	5.888E-6
										4.527E+2	2.176E-7
										4.531E+2	2.399E-6
										4.534E+2	1.745E-6
										4.538E+2	3.925E-6
										4.541E+2	3.271E-6
										4.545E+2	7.197E-6
										4.549E+2	1.352E-5
										4.552E+2	1.265E-5
										4.556E+2	3.925E-6
										4.559E+2	8.287E-6
										4.563E+2	8.725E-7
										4.566E+2	1.526E-6
										4.570E+2	1.199E-5
										4.574E+2	7.851E-6
										4.577E+2	6.107E-6
										4.581E+2	4.579E-6
										4.584E+2	7.197E-6
										4.588E+2	9.596E-6
										4.591E+2	4.362E-6
										4.595E+2	4.363E-7
										4.599E+2	5.015E-6
										4.602E+2	2.617E-6
										4.606E+2	4.798E-6
										4.609E+2	4.144E-6
										4.613E+2	1.156E-5
										4.616E+2	2.181E-6
										4.620E+2	9.377E-6
										4.624E+2	1.090E-6
										4.627E+2	8.723E-6
										4.631E+2	9.596E-6
										4.634E+2	5.670E-6
										4.638E+2	4.362E-6
										4.641E+2	8.941E-6
										4.645E+2	4.362E-6
										4.649E+2	6.978E-6
										4.652E+2	7.851E-6
										4.656E+2	3.925E-6
										4.659E+2	5.452E-6
										4.663E+2	5.234E-6
										4.666E+2	1.265E-5
										4.670E+2	9.813E-6
										4.674E+2	4.144E-6
										4.677E+2	1.112E-5
										4.681E+2	1.047E-5
										4.684E+2	1.657E-5
										4.688E+2	9.377E-6
										4.691E+2	1.439E-5
										4.695E+2	8.287E-6
										4.698E+2	8.505E-6
										4.702E+2	1.941E-5
										4.705E+2	2.050E-5
										4.709E+2	6.107E-6
										4.713E+2	2.268E-5
										4.716E+2	2.399E-5
										4.720E+2	1.090E-5
										4.723E+2	2.617E-5
										4.727E+2	3.009E-5
										4.730E+2	2.115E-5
										4.734E+2	2.377E-5
										4.738E+2	2.726E-5
										4.741E+2	2.530E-5
										4.745E+2	2.530E-5
										4.748E+2	3.184E-5
										4.752E+2	3.053E-5
										4.755E+2	3.380E-5
										4.759E+2	4.449E-5
										4.762E+2	4.383E-5
										4.766E+2	3.424E-5
										4.770E+2	5.321E-5
										4.773E+2	4.383E-5
										4.777E+2	5.495E-5
										4.780E+2	5.016E-5
										4.784E+2	5.605E-5
										4.787E+2	6.804E-5
										4.791E+2	6.957E-5
										4.794E+2	6.542E-5
										4.798E+2	7.284E-5
										4.801E+2	8.374E-5
										4.805E+2	8.549E-5
										4.809E+2	9.203E-5
										4.812E+2	1.001E-4
										4.816E+2	9.595E-5
										4.819E+2	1.021E-4
										4.823E+2	1.215E-4
										4.826E+2	1.328E-4
										4.830E+2	1.219E-4
										4.833E+2	1.494E-4
										4.837E+2	1.472E-4
										4.840E+2	1.636E-4
										4.844E+2	1.688E-4
										4.848E+2	1.838E-4
										4.851E+2	1.950E-4
										4.855E+2	2.059E-4
										4.858E+2	2.244E-4
										4.862E+2	2.279E-4
										4.865E+2	2.384E-4
										4.869E+2	2.728E-4
										4.872E+2	2.709E-4
										4.876E+2	3.101E-4
										4.879E+2	3.245E-4
										4.883E+2	3.175E-4
										4.886E+2	3.718E-4
										4.890E+2	3.773E-4
										4.894E+2	4.174E-4
										4.897E+2	4.381E-4
										4.901E+2	4.545E-4
										4.904E+2	4.841E-4
										4.908E+2	5.352E-4
										4.911E+2	5.613E-4
										4.915E+2	5.703E-4
										4.918E+2	6.289E-4
										4.922E+2	6.575E-4
										4.925E+2	7.016E-4
										4.929E+2	7.430E-4
										4.932E+2	7.803E-4
										4.936E+2	8.479E-4
										4.939E+2	8.828E-4
										4.943E+2	9.432E-4
										4.946E+2	9.848E-4
										4.950E+2	1.061E-3
										4.954E+2	1.107E-3
										4.957E+2	1.143E-3
										4.961E+2	1.213E-3
										4.964E+2	1.295E-3
										4.968E+2	1.378E-3
										4.971E+2	1.417E-3
										4.975E+2	1.497E-3
										4.978E+2	1.569E-3
										4.982E+2	1.615E-3
										4.985E+2	1.710E-3
										4.989E+2	1.771E-3
										4.992E+2	1.869E-3
										4.996E+2	1.948E-3
										4.999E+2	2.023E-3
										5.003E+2	2.094E-3
										5.006E+2	2.208E-3
										5.010E+2	2.260E-3
										5.014E+2	2.350E-3
										5.017E+2	2.439E-3
										5.020E+2	2.535E-3
										5.024E+2	2.601E-3
										5.028E+2	2.738E-3
										5.031E+2	2.788E-3
										5.035E+2	2.908E-3
										5.038E+2	2.989E-3
										5.042E+2	3.091E-3
										5.045E+2	3.160E-3
										5.049E+2	3.248E-3
										5.052E+2	3.363E-3
										5.056E+2	3.421E-3
										5.059E+2	3.549E-3
										5.063E+2	3.640E-3
										5.066E+2	3.769E-3
										5.070E+2	3.839E-3
										5.073E+2	3.881E-3
										5.077E+2	3.983E-3
										5.080E+2	4.085E-3
										5.084E+2	4.171E-3
										5.087E+2	4.254E-3
										5.091E+2	4.370E-3
										5.094E+2	4.420E-3
										5.098E+2	4.522E-3
										5.101E+2	4.608E-3
										5.105E+2	4.643E-3
										5.108E+2	4.727E-3
										5.112E+2	4.751E-3
										5.115E+2	4.838E-3
										5.119E+2	4.934E-3
										5.122E+2	4.964E-3
										5.126E+2	5.026E-3
										5.130E+2	5.096E-3
										5.133E+2	5.144E-3
										5.137E+2	5.141E-3
										5.140E+2	5.218E-3
										5.143E+2	5.276E-3
										5.147E+2	5.252E-3
										5.151E+2	5.338E-3
										5.154E+2	5.320E-3
										5.158E+2	5.410E-3
										5.161E+2	5.370E-3
										5.165E+2	5.420E-3
										5.168E+2	5.472E-3
										5.172E+2	5.452E-3
										5.175E+2	5.500E-3
										5.179E+2	5.499E-3
										5.182E+2	5.500E-3
										5.186E+2	5.504E-3
										5.189E+2	5.525E-3
										5.193E+2	5.522E-3
										5.196E+2	5.537E-3
										5.200E+2	5.552E-3
										5.203E+2	5.539E-3
										5.207E+2	5.547E-3
										5.210E+2	5.550E-3
										5.214E+2	5.526E-3
										5.217E+2	5.557E-3
										5.221E+2	5.520E-3
										5.224E+2	5.522E-3
										5.228E+2	5.546E-3
										5.231E+2	5.503E-3
										5.235E+2	5.506E-3
										5.238E+2	5.489E-3
										5.242E+2	5.499E-3
										5.245E+2	5.473E-3
										5.249E+2	5.432E-3
										5.252E+2	5.440E-3
										5.256E+2	5.430E-3
										5.259E+2	5.380E-3
										5.262E+2	5.379E-3
										5.266E+2	5.381E-3
										5.270E+2	5.325E-3
										5.273E+2	5.294E-3
										5.277E+2	5.295E-3
										5.280E+2	5.308E-3
										5.283E+2	5.213E-3
										5.287E+2	5.183E-3
										5.290E+2	5.197E-3
										5.294E+2	5.164E-3
										5.298E+2	5.159E-3
										5.301E+2	5.116E-3
										5.304E+2	5.067E-3
										5.308E+2	5.025E-3
										5.311E+2	4.976E-3
										5.315E+2	5.011E-3
										5.318E+2	4.969E-3
										5.322E+2	4.871E-3
										5.325E+2	4.865E-3
										5.329E+2	4.838E-3
										5.332E+2	4.828E-3
										5.336E+2	4.788E-3
										5.339E+2	4.738E-3
										5.343E+2	4.697E-3
										5.346E+2	4.677E-3
										5.350E+2	4.635E-3
										5.353E+2	4.618E-3
										5.357E+2	4.569E-3
										5.360E+2	4.548E-3
										5.364E+2	4.486E-3
										5.367E+2	4.479E-3
										5.371E+2	4.438E-3
										5.374E+2	4.389E-3
										5.378E+2	4.369E-3
										5.381E+2	4.327E-3
										5.385E+2	4.327E-3
										5.388E+2	4.249E-3
										5.392E+2	4.225E-3
										5.395E+2	4.157E-3
										5.398E+2	4.167E-3
										5.402E+2	4.157E-3
										5.405E+2	4.152E-3
										5.409E+2	4.126E-3
										5.412E+2	4.020E-3
										5.416E+2	4.064E-3
										5.419E+2	4.040E-3
										5.423E+2	3.965E-3
										5.426E+2	3.970E-3
										5.430E+2	3.944E-3
										5.433E+2	3.910E-3
										5.437E+2	3.900E-3
