SpectraSuite数据文件
++++++++++++++++++++++++++++++++++++
数据: Mon Apr 03 17:04:19 CST 2023
用户: Administrator
暗光谱: 是
参考光谱: 否
光谱数量: 1
光谱仪: USB2+U11342
积分时间（微秒）: 100000 (USB2+U11342)
平均次数: 1 (USB2+U11342)
平滑度: 0 (USB2+U11342)
去除暗噪声: 否 (USB2+U11342)
使用脉冲信号/灯: 否 (USB2+U11342)
电子暗噪声校正: 否 (USB2+U11342)
杂散光校正: 否 (USB2+U11342)
光谱像素值: 2048
>>>>>Begin Processed Spectral Data<<<<<
190.79	-52.43
191.17	-52.43
191.55	-52.43
191.94	-45.87
192.32	37.14
192.70	-32.77
193.08	0.00
193.47	17.48
193.85	32.77
194.23	-26.21
194.61	-63.35
194.99	28.40
195.38	-45.87
195.76	-19.66
196.14	13.11
196.52	-72.09
196.90	37.14
197.29	-6.55
197.67	-69.90
198.05	17.48
198.43	-65.54
198.81	-13.11
199.19	-21.84
199.58	-8.74
199.96	48.06
200.34	24.03
200.72	24.03
201.10	0.00
201.48	-10.92
201.86	-91.75
202.25	17.48
202.63	19.66
203.01	32.77
203.39	63.35
203.77	37.14
204.15	30.58
204.53	-48.06
204.91	24.03
205.30	0.00
205.68	52.43
206.06	-10.92
206.44	98.30
206.82	8.74
207.20	65.54
207.58	32.77
207.96	-63.35
208.34	8.74
208.73	10.92
209.11	0.00
209.49	56.80
209.87	19.66
210.25	69.90
210.63	65.54
211.01	13.11
211.39	-17.48
211.77	-48.06
212.15	-19.66
212.53	32.77
212.91	32.77
213.29	85.20
213.67	39.32
214.05	76.46
214.43	-65.54
214.82	96.12
215.20	61.17
215.58	28.40
215.96	-2.18
216.34	19.66
216.72	-67.72
217.10	30.58
217.48	28.40
217.86	-24.03
218.24	98.30
218.62	41.51
219.00	0.00
219.38	-54.61
219.76	30.58
220.14	19.66
220.52	8.74
220.90	30.58
221.28	-30.58
221.66	76.46
222.04	-32.77
222.42	4.37
222.80	15.29
223.18	4.37
223.56	39.32
223.93	-6.55
224.31	0.00
224.69	-52.43
225.07	8.74
225.45	-72.09
225.83	32.77
226.21	28.40
226.59	30.58
226.97	6.55
227.35	4.37
227.73	-78.64
228.11	50.24
228.49	24.03
228.87	39.32
229.25	61.17
229.63	0.00
230.00	24.03
230.38	32.77
230.76	85.20
231.14	120.15
231.52	100.49
231.90	-56.80
232.28	-13.11
232.66	56.80
233.04	115.78
233.42	-50.24
233.79	48.06
234.17	-6.55
234.55	58.98
234.93	50.24
235.31	-10.92
235.69	-37.14
236.07	-8.74
236.44	-26.21
236.82	100.49
237.20	96.12
237.58	43.69
237.96	58.98
238.34	13.11
238.72	63.35
239.09	72.09
239.47	-19.66
239.85	6.55
240.23	19.66
240.61	76.46
240.98	30.58
241.36	-39.32
241.74	74.27
242.12	56.80
242.50	78.64
242.88	34.95
243.25	69.90
243.63	65.53
244.01	54.61
244.39	13.11
244.76	-28.40
245.14	-4.37
245.52	58.98
245.90	-17.48
246.28	48.06
246.65	-2.18
247.03	26.21
247.41	37.14
247.79	-6.55
248.16	0.00
248.54	30.58
248.92	19.66
249.30	34.95
249.67	96.12
250.05	6.55
250.43	-26.21
250.81	15.29
251.18	52.43
251.56	-6.55
251.94	-52.43
252.32	8.74
252.69	-54.61
253.07	-69.90
253.45	-50.24
253.82	65.54
254.20	-6.55
254.58	24.03
254.95	45.87
255.33	50.24
255.71	-37.14
256.09	-4.37
256.46	19.66
256.84	-50.24
257.22	74.27
257.59	48.06
257.97	69.90
258.35	8.74
258.72	-54.61
259.10	-34.95
259.48	63.35
259.85	-67.72
260.23	41.51
260.61	30.58
260.98	48.06
261.36	8.74
261.73	63.35
262.11	32.77
262.49	146.36
262.86	-6.55
263.24	-21.85
263.62	54.61
263.99	8.74
264.37	8.74
264.74	6.55
265.12	54.61
265.50	-52.43
265.87	-32.77
266.25	-34.95
266.62	91.75
267.00	2.18
267.38	72.09
267.75	63.35
268.13	58.98
268.50	13.11
268.88	-2.18
269.26	13.11
269.63	-19.66
270.01	17.48
270.38	-32.77
270.76	87.38
271.13	26.21
271.51	-19.66
271.88	24.03
272.26	133.25
272.64	-8.74
273.01	-96.12
273.39	0.00
273.76	-2.18
274.14	10.92
274.51	115.78
274.89	104.86
275.26	19.66
275.64	21.85
276.01	-2.18
276.39	-48.06
276.76	28.40
277.14	34.95
277.51	-6.55
277.89	39.32
278.26	48.06
278.64	-34.95
279.01	32.77
279.39	61.17
279.76	17.48
280.14	80.83
280.51	124.52
280.89	13.11
281.26	2.18
281.64	91.75
282.01	0.00
282.38	21.84
282.76	-39.32
283.13	-24.03
283.51	58.98
283.88	-72.09
284.26	-10.92
284.63	34.95
285.01	52.43
285.38	-41.51
285.75	63.35
286.13	69.90
286.50	21.85
286.88	-26.21
287.25	32.77
287.63	-50.24
288.00	15.29
288.37	52.43
288.75	93.93
289.12	50.24
289.50	37.14
289.87	6.55
290.24	26.21
290.62	102.67
290.99	19.66
291.36	67.72
291.74	43.69
292.11	-104.86
292.49	15.29
292.86	-24.03
293.23	28.40
293.61	-8.74
293.98	-32.77
294.35	17.48
294.73	21.85
295.10	13.11
295.47	111.41
295.85	-21.85
296.22	45.87
296.59	2.18
296.97	-4.37
297.34	30.58
297.71	52.43
298.09	2.18
298.46	-28.40
298.83	-34.95
299.20	-32.77
299.58	-61.17
299.95	-13.11
300.32	52.43
300.70	15.29
301.07	-21.85
301.44	135.44
301.82	41.51
302.19	85.20
302.56	-24.03
302.93	58.98
303.31	-24.03
303.68	10.92
304.05	58.98
