Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	1.137E-4	3.988E-9	2.842E+0	7.624E-1	2.682E-2	-2.106E-2	7.192E-3	2.725E-1	6.619E-1	3.808E+2	6.584E-6
-3.800E+0	1.030E-4	3.334E-9	2.574E+0	6.374E-1	2.477E-2	-2.046E-2	6.640E-3			3.811E+2	7.994E-6
-3.600E+0	8.603E-5	3.312E-9	2.151E+0	6.333E-1	2.944E-2	-2.568E-2	7.894E-3			3.815E+2	2.352E-6
-3.400E+0	8.248E-5	3.311E-9	2.062E+0	6.330E-1	3.070E-2	-2.835E-2	8.231E-3			3.819E+2	3.762E-6
-3.200E+0	6.778E-5	3.290E-9	1.695E+0	6.289E-1	3.712E-2	-3.642E-2	9.951E-3			3.822E+2	8.229E-6
-3.000E+0	5.412E-5	3.492E-9	1.353E+0	6.676E-1	4.934E-2	-5.165E-2	1.323E-2			3.826E+2	7.289E-6
-2.800E+0	4.771E-5	3.283E-9	1.193E+0	6.277E-1	5.263E-2	-5.902E-2	1.411E-2			3.830E+2	2.352E-6
-2.600E+0	5.039E-5	3.323E-9	1.260E+0	6.354E-1	5.044E-2	-6.091E-2	1.352E-2			3.833E+2	2.352E-6
-2.400E+0	4.124E-5	3.300E-9	1.031E+0	6.309E-1	6.120E-2	-8.007E-2	1.641E-2			3.837E+2	2.586E-6
-2.200E+0	3.272E-5	3.288E-9	8.179E-1	6.285E-1	7.685E-2	-1.097E-1	2.060E-2			3.841E+2	2.586E-6
-2.000E+0	2.465E-5	3.322E-9	6.162E-1	6.351E-1	1.031E-1	-1.618E-1	2.763E-2			3.844E+2	3.291E-6
-1.800E+0	2.369E-5	3.383E-9	5.922E-1	6.467E-1	1.092E-1	-1.905E-1	2.928E-2			3.848E+2	2.351E-6
-1.600E+0	1.481E-5	3.388E-9	3.703E-1	6.478E-1	1.749E-1	-3.433E-1	4.690E-2			3.852E+2	2.586E-6
-1.400E+0	1.036E-5	3.394E-9	2.590E-1	6.490E-1	2.506E-1	-5.620E-1	6.719E-2			3.855E+2	1.646E-6
-1.200E+0	7.895E-6	3.342E-9	1.974E-1	6.389E-1	3.237E-1	-8.470E-1	8.679E-2			3.859E+2	0.000E+0
-1.000E+0	5.711E-6	3.722E-9	1.428E-1	7.117E-1	4.984E-1	-1.565E+0	1.336E-1			3.863E+2	2.352E-6
-8.000E-1	3.322E-6	3.935E-9	8.304E-2	7.524E-1	9.060E-1	-3.556E+0	2.429E-1			3.866E+2	7.050E-7
-6.000E-1	1.958E-6	3.848E-9	4.895E-2	7.356E-1	1.503E+0	-7.865E+0	4.029E-1			3.870E+2	7.994E-6
-4.000E-1	8.215E-7	3.378E-9	2.054E-2	6.458E-1	3.144E+0	-2.468E+1	8.430E-1			3.874E+2	6.348E-6
-2.000E-1	2.391E-7	4.142E-9	5.977E-3	7.919E-1	1.325E+1	-2.080E+2	3.553E+0			3.877E+2	4.703E-7
1.277E-15	6.954E-10	3.420E-9	1.739E-5	6.538E-1	3.761E+3	9.249E+18	1.008E+3			3.881E+2	7.994E-6
2.000E-1	2.909E-7	3.258E-9	7.274E-3	6.228E-1	8.562E+0	1.344E+2	2.296E+0			3.885E+2	3.291E-6
4.000E-1	9.929E-7	3.427E-9	2.482E-2	6.553E-1	2.640E+0	2.072E+1	7.078E-1			3.888E+2	4.468E-6
6.000E-1	1.735E-6	3.387E-9	4.338E-2	6.475E-1	1.493E+0	7.813E+0	4.003E-1			3.892E+2	4.468E-6
8.000E-1	2.829E-6	3.645E-9	7.072E-2	6.969E-1	9.854E-1	3.868E+0	2.642E-1			3.895E+2	8.700E-6
